name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size,,,,,,,,,,,
KAWATA Junji,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgASlyApDj5Vs1YHd-pzAzp_BlVH36iBZIX8xO9JEhU-d0vj4QYlfkK6TvhnlR178gueQ&usqp=CAU,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1,manager,cto",true,"Managing Executive Officer, Co-Head of JA and JF Business Support, Head of Agriculture & Fisheries Banking and Regional Revitalization",11,1,,,,,,,,,,,,
HAMBA Yuji,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb7QWnrJy_0EutH0EHp7JUVujvEHXpTVMXlg&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1, tag2",true,"Director and Managing Executive Officer, Member of the Board of Directors, Chief Information & Digital Officer",12,1,,,,,,,,,,,,
YOSHIDA Hikaru,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTrW664-PLdxpPGXgigkJA9If_xSis5-e06g&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1,manager,cto",true,"Director and Managing Executive Officer, Member of the Board of Directors, Chief Risk Officer / Chief Compliance Officer",13,1,,,,,,,,,,,,
UTSUMI Tomoe,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA1ulY_TrybxMnWSjNIUg2oYuz2hkftL1vDQ&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1, tag2",true,"Managing Executive Officer, Head of Operations, Chief Diversity Officer",14,1,,,,,,,,,,,,
KAWASHIMA Kenji,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9AzokIjV5KXNjowTGaUfDkQ2uxp8F4Tj8Jw&s,Norinchukin Bank,http://example.com/employee/profile,Executive Officer,"Ceo,tag1,manager,cto",true,"Managing Executive Officer, Chief Administrative Officer/Chief Strategy Officer",15,1,,,,,,,,,,,,
Shota Nakayama,https://media.licdn.com/dms/image/C4E03AQHsgmVT4kn8Mw/profile-displayphoto-shrink_100_100/0/1621079894440?e=1724889600&v=beta&t=_rAkUOclg__YmdFLkoRnPkBiPmOIUesWH6C5oZwLN1U,Norinchukin Bank,http://example.com/employee/profile,Director,"Ceo,tag1, tag2",true,Director,16,4,,,,,,,,,,,,
Taichi Sakagawa,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Head of Department,"Ceo,tag1,manager,cto",true,"Head of Alternative Investments, Deputy Global Head of Credit and Alternative Investments",17,5,,,,,,,,,,,,
Takashi Kataoka,https://media.licdn.com/dms/image/D5603AQGpgoVpyKJkzg/profile-displayphoto-shrink_100_100/0/1686404983216?e=1724889600&v=beta&t=nx43akgh_iCOgdSNd_fsiDS0VAJBpaogirTOeA0sERs,Norinchukin Bank,http://example.com/employee/profile,Director,"Ceo,tag1, tag2",true,Director,18,4,,,,,,,,,,,,
Yuichiro Hara,https://media.licdn.com/dms/image/C5103AQHlNf52EyIvuw/profile-displayphoto-shrink_100_100/0/1571235056489?e=1724889600&v=beta&t=575i7to4Txtj6qQutdnuRdi9s5UpWF_yDTsDGCKVq2Y,Norinchukin Bank,http://example.com/employee/profile,General Manager,"Ceo,tag1,manager,cto",true,General Manager,19,4,,,,,,,,,,,,
SUSUMU MIYAJI,https://media.licdn.com/dms/image/C5103AQHBxsUk-nIYVg/profile-displayphoto-shrink_100_100/0/1535943106612?e=1724889600&v=beta&t=BP6DD-QKFdu0oqGKKov1AaB6x1wX7YkkGRXzhnPeNkQ,Norinchukin Bank,http://example.com/employee/profile,Head of Department,"Ceo,tag1, tag2",true,Global Head of Business Development,20,5,,,,,,,,,,,,
KEI SHIBATA,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Head of Department,"Ceo,tag1,manager,cto",true,Head of Overseas Business Development Group,21,5,,,,,,,,,,,,
Shinichi M.,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,General Manager,"Ceo,tag1, tag2",true,General Manager,22,4,,,,,,,,,,,,
Hideki Obata,https://media.licdn.com/dms/image/C5103AQFmZ2xOzHdcSA/profile-displayphoto-shrink_100_100/0/1516241266092?e=1724889600&v=beta&t=h1YLJece3hHePL6zG3S28RhZNLi-wujmONXOCX3EArY,Norinchukin Bank,http://example.com/employee/profile,Managing Executive Officer,"Ceo,tag1,manager,cto",true,Managing Executive Officer,23,2,,,,,,,,,,,,
Wataru Nishimura,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Deputy Head,"Ceo,tag1, tag2",true,Deputy Global Head of Project and Asset Finance,24,9,,,,,,,,,,,,
Yohei K.,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Director,"Ceo,tag1,manager,cto",true,Director,25,4,,,,,,,,,,,,
Katsuhiko Ushikubo,https://media.licdn.com/dms/image/C4E03AQF9OQr-7rLALg/profile-displayphoto-shrink_100_100/0/1525316418339?e=1724889600&v=beta&t=n1xccnub0if8TQvLDdNwUjzm6yujMAJtAJekqsiODs0,Norinchukin Bank,http://example.com/employee/profile,Executive,"Ceo,tag1, tag2",true,President and CEO,26,1,,,,,,,,,,,,
Kenji Yoshida,https://media.licdn.com/dms/image/C4D03AQEsK3ne5o0bMQ/profile-displayphoto-shrink_100_100/0/1557585290042?e=1724889600&v=beta&t=NDEY5K3IRPFBKbndVk06oO5d903iq2tTlyScy8mq0GE,Norinchukin Bank,http://example.com/employee/profile,General Manager,"Ceo,tag1,manager,cto",true,"General Manager, London Branch",27,4,,,,,,,,,,,,
Tetsushi Onishi,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Head of Department,"Ceo,tag1, tag2",true,Global Head of Treasury & Forex,28,5,,,,,,,,,,,,
Hiroki Kawabata,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Head of Department,"Ceo,tag1,manager,cto",true,Head of APAC CVC investment,29,5,,,,,,,,,,,,
Koji Ashizawa,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Co-Head,"Ceo,tag1, tag2",true,Co-Head of M&A,30,5,,,,,,,,,,,,
HARUO NODA,https://media.licdn.com/dms/image/D5603AQGdRN_NmqJFWA/profile-displayphoto-shrink_100_100/0/1695721078409?e=1724889600&v=beta&t=SJcjExk0yiqEOd4RdWkCOakYZcZgWD6f-gMx8oboQro,Norinchukin Bank,http://example.com/employee/profile,Head of Department,"Ceo,tag1,manager,cto",true,Head of Sustainability,31,5,,,,,,,,,,,,
Kei Fujisaki,https://media.licdn.com/dms/image/C4E03AQFylzjWNXxUmg/profile-displayphoto-shrink_100_100/0/1517561408422?e=1724889600&v=beta&t=P27TIO5mH6EXRp2jjssFOzd3ewvycUcrlNWpVVBNWfg,Norinchukin Bank,http://example.com/employee/profile,Chief Officer,"Ceo,tag1, tag2",true,Chief Risk Officer (CRO),32,2,,,,,,,,,,,,
Taiki Hino,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Other,"Ceo,tag1,manager,cto",true,Venture Capitalist,33,5,,,,,,,,,,,,
Yasushi Kimura,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,General Manager,"Ceo,tag1, tag2",true,"General Manager, Corporate Business Division Ⅳ",34,4,,,,,,,,,,,,
Daisuke Imamura,https://media.licdn.com/dms/image/D4E03AQE9VotEdffDdg/profile-displayphoto-shrink_200_200/0/1696838233590?e=1724889600&v=beta&t=4rRYjMNMsXgwS7_s7aW9xOfj_vPTB4aIqelPbyMhN_I,Norinchukin Bank,http://example.com/employee/profile,Deputy Head,"Ceo,tag1,manager,cto",true,Deputy Global Head of Real Estate Investments,35,5,,,,,,,,,,,,
Kazunari Okuno,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Chief Officer,"Ceo,tag1, tag2",true,Chief Investment Officer,36,2,,,,,,,,,,,,
shinichi saitoh,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Executive,"Ceo,tag1,manager,cto",true,President,37,1,,,,,,,,,,,,
Hiroshi Yuda,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,General Manager,"Ceo,tag1, tag2",true,General Manager,38,4,,,,,,,,,,,,
Kono Show Soichiro,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,General Manager,"Ceo,tag1,manager,cto",true,Joint General Manager,39,4,,,,,,,,,,,,
Katsu Maeda,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,Director,"Ceo,tag1, tag2",true,Director,40,4,,,,,,,,,,,,
Koichi Akiyama,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",Norinchukin Bank,http://example.com/employee/profile,General Manager,"Ceo,tag1,manager,cto",true,General Manager,41,4,,,,,,,,,,,,
Akinosuke Takahashi,https://media.licdn.com/dms/image/D5603AQHjl4zqZ6jayA/profile-displayphoto-shrink_100_100/0/1675306020223?e=1724889600&v=beta&t=-QForWix9PLZ5D8gVKEE49uaeG0H9bdbBpP-9487jww,Norinchukin Bank,http://example.com/employee/profile,Finance,"Ceo,tag1, tag2",true,Director of Finance,42,5,,,,,,,,,,,,
